opinion_id,cluster_id,date_filed,case_name,author,type,citation,page_count,url,download_url,classification,confidence,tags,notes,summary,reasoning,text_length,analyzed_date
11243468,https://www.courtlistener.com/api/rest/v4/clusters/10776881/,2024-11-04,Hamm v. Smith,N/A,010combined,N/A,5,https://www.courtlistener.com/opinion/10776881/hamm-v-smith/,https://www.supremecourt.gov/opinions/24pdf/604us1r01_2dq3.pdf,Center,High,[Capital Punishment;Criminal Justice;Eighth Amendment],"[Capital Punishment - The case concerns the application of Atkins v. Virginia regarding intellectual disability and the death penalty;Criminal Justice - Addresses the legal standards for determining intellectual disability in the context of a capital case;Eighth Amendment - Relates to the prohibition against cruel and unusual punishment, specifically its application to individuals with intellectual disabilities]","The Supreme Court vacated and remanded the Eleventh Circuit's decision regarding the death sentence of Joseph Clifton Smith. Smith's death sentence was vacated by the District Court due to intellectual disability, based on IQ scores. The Supreme Court found the Eleventh Circuit's reasoning unclear, and remanded the case to determine the basis for their prior ruling, clarifying whether it was based on a per se rule or a holistic approach.","The decision is center because it does not make a definitive statement on the substantive issue of intellectual disability and capital punishment, but rather remands the case for clarification. The court is just asking for the appeals court to clarify the reasoning.",5914,2026-01-24
11243467,https://www.courtlistener.com/api/rest/v4/clusters/10776880/,2024-11-22,"Facebook, Inc. v. Amalgamated Bank",N/A,010combined,N/A,4,https://www.courtlistener.com/opinion/10776880/facebook-inc-v-amalgamated-bank/,https://www.supremecourt.gov/opinions/24pdf/604us1r02_j4ek.pdf,Center,High,Business/Commerce;Technology,"Business/Commerce - Case involves Facebook, a business entity;Technology - Case involves Facebook, a technology company.","The Supreme Court dismissed the writ of certiorari in Facebook, Inc. v. Amalgamated Bank as improvidently granted. This means the Court decided not to rule on the merits of the case, leaving the lower court's decision in place. The case involved Facebook and Amalgamated Bank, but the specific legal question and reasoning are not discernible from this preliminary print, as the Court did not issue a substantive ruling.","The Court dismissed the case without addressing the underlying legal issues, indicating a neutral stance; therefore it is classified as center.",3806,2026-01-24
11243466,https://www.courtlistener.com/api/rest/v4/clusters/10776879/,2024-12-10,Bouarfa v. Mayorkas,N/A,010combined,N/A,16,https://www.courtlistener.com/opinion/10776879/bouarfa-v-mayorkas/,https://www.supremecourt.gov/opinions/24pdf/604us1r03_3f14.pdf,Conservative,High,[Administrative Law;Immigration],[Administrative Law - The court defers to the Secretary of Homeland Security's discretion;Immigration - The court interprets immigration law in a way that limits judicial review of agency decisions regarding visa petitions.],"The Supreme Court addressed whether the Secretary of Homeland Security's decision to revoke approval of a visa petition based on a sham-marriage determination falls within the scope of a statute that limits judicial review of discretionary agency actions. The Court held that such revocation is a discretionary decision under 8 U.S.C. § 1155, as the Secretary ""may, at any time,"" revoke approval of a visa petition ""for what he deems to be good and sufficient cause,"" and is therefore not subject to judicial review under 8 U.S.C. § 1252(a)(2)(B)(ii).","The court's decision to limit judicial review and defer to the executive branch's discretion in immigration matters, especially concerning visa revocations, aligns with a conservative judicial philosophy that emphasizes deference to the executive branch and a stricter interpretation of immigration laws.",15000,2026-01-24
11243465,https://www.courtlistener.com/api/rest/v4/clusters/10776878/,2024-12-11,NVIDIA v. E. Ohman J:or Fonder AB,N/A,010combined,N/A,4,https://www.courtlistener.com/opinion/10776878/nvidia-v-e-ohman-jor-fonder-ab/,https://www.supremecourt.gov/opinions/24pdf/604us1r04_5i36.pdf,Center,High,[Business/Commerce],[Business/Commerce - The case involves a business dispute between NVIDIA and E. Ohman J:or Fonder AB],The Supreme Court dismissed the writ of certiorari in the case of NVIDIA Corp. et al. v. E. Ohman J:or Fonder AB et al. as improvidently granted. The case originated in the Ninth Circuit Court of Appeals. The Supreme Court did not offer any legal reasoning as to why the writ was dismissed.,"The dismissal of certiorari without a stated reason does not inherently align with either liberal or conservative legal principles, making it a neutral, center decision.",3943,2026-01-24
11243464,https://www.courtlistener.com/api/rest/v4/clusters/10776877/,2025-01-15,"E.M.D. Sales, Inc. v. Carrera",N/A,010combined,N/A,13,https://www.courtlistener.com/opinion/10776877/emd-sales-inc-v-carrera/,https://www.supremecourt.gov/opinions/24pdf/604us1r06_5ifl.pdf,Center,High,Employment;Business/Commerce,Employment - Focuses on the standard of evidence required in Fair Labor Standards Act cases;Business/Commerce - Impacts the burden of proof for businesses claiming exemptions from overtime pay requirements.,"The Supreme Court addressed the standard of proof required for employers to demonstrate that an employee is exempt from the Fair Labor Standards Act's (FLSA) minimum wage and overtime pay provisions. The Court held that the preponderance-of-the-evidence standard applies, reversing the Fourth Circuit's ruling which required clear and convincing evidence. The Court reasoned that the FLSA does not specify a standard of proof for exemptions, and the default standard in civil litigation is the preponderance of the evidence unless a statute, the Constitution, or specific circumstances require a heightened standard.",The decision focuses on applying the standard evidentiary rules in a statutory context; no clear favoritism to employees or business owners can be derived from the legal analysis.,15000,2026-01-24
11243463,https://www.courtlistener.com/api/rest/v4/clusters/10776876/,2025-01-15,Royal Canin U. S. A. v. Wullschleger,N/A,010combined,N/A,25,https://www.courtlistener.com/opinion/10776876/royal-canin-u-s-a-v-wullschleger/,https://www.supremecourt.gov/opinions/24pdf/604us1r05_db8e.pdf,Center,High,[Federal Power;State Rights],[Federal Power - The decision clarifies the limits of federal court jurisdiction in cases removed from state court;State Rights - The decision reinforces the role of state courts in resolving cases involving only state law claims.],"The Supreme Court addressed the question of whether a federal court retains supplemental jurisdiction over state-law claims in a case removed from state court after the plaintiff amends their complaint to eliminate all federal-law claims. The Court held unanimously that when such an amendment occurs, the federal court loses its supplemental jurisdiction and the case must be remanded back to state court. The Court's reasoning relied on the text of 28 U.S.C. § 1367, related procedural rules, and the understanding that the operative pleading for jurisdictional purposes is the amended complaint.","This decision is center because it clarifies the balance of power between federal and state courts regarding supplemental jurisdiction, reinforcing the traditional limits on federal court jurisdiction while not significantly expanding or restricting either federal or state power in a novel way.",15000,2026-01-24
11243462,https://www.courtlistener.com/api/rest/v4/clusters/10776875/,2025-01-17,TikTok Inc. v. Garland,N/A,010combined,N/A,32,https://www.courtlistener.com/opinion/10776875/tiktok-inc-v-garland/,https://www.supremecourt.gov/opinions/24pdf/604us1r07_k536.pdf,Conservative,High,First Amendment;National Security;Technology;Federal Power;Administrative Law,"First Amendment - The court applies intermediate scrutiny to a First Amendment challenge;National Security - The court gives deference to the government on national security concerns related to data collection by a foreign adversary;Technology - The case involves a social media platform and algorithms;Federal Power - The court upholds a federal law restricting the operation of a foreign-controlled app;Administrative Law - The case deals with the President's power to determine a ""qualified divestiture"".;","The Supreme Court upheld the Protecting Americans from Foreign Adversary Controlled Applications Act, which targets TikTok. The plaintiffs argued that the Act violated the First Amendment by restricting speech. The Court, assuming without deciding that First Amendment scrutiny applies, ruled that the law is content-neutral and survives intermediate scrutiny because it furthers important government interests in national security by preventing China from accessing user data and potentially manipulating content. The Court deferred to the government's assessment of national security risks and found the law sufficiently tailored to address those risks.","The decision prioritizes national security concerns and defers to governmental expertise, especially in the context of foreign affairs. This deference, combined with the application of intermediate scrutiny rather than strict scrutiny to a First Amendment claim, aligns with a conservative judicial approach.",15000,2026-01-24
11243461,https://www.courtlistener.com/api/rest/v4/clusters/10776874/,2025-01-21,Andrew v. White,N/A,010combined,N/A,31,https://www.courtlistener.com/opinion/10776874/andrew-v-white/,https://www.supremecourt.gov/opinions/24pdf/604us1r08_db8e.pdf,Liberal,High,Fourteenth Amendment; Capital Punishment; Criminal Justice,"Fourteenth Amendment - The decision centers on whether the admission of irrelevant and prejudicial evidence violated the Due Process Clause of the Fourteenth Amendment, specifically rendering the trial fundamentally unfair.; Capital Punishment - The case involves a defendant sentenced to death, raising questions about the fairness of the proceedings that led to that sentence.; Criminal Justice - This is a criminal case concerning the admissibility of evidence and its potential impact on the fairness of a trial.","The Supreme Court granted certiorari and remanded the case of Andrew v. White, concerning Brenda Andrew's death sentence for the murder of her husband. The Court held that the Tenth Circuit erred in finding that there was no clearly established federal law regarding the inadmissibility of unduly prejudicial evidence. The Court reiterated that the Due Process Clause forbids the introduction of evidence so unduly prejudicial as to render a criminal trial fundamentally unfair and clarified that this principle, as established in previous cases like Payne v. Tennessee, constitutes ""clearly established federal law"" applicable under the Antiterrorism and Effective Death Penalty Act (AEDPA). The case was remanded for the Tenth Circuit to determine whether the state court's application of this law was unreasonable.","The decision favors a broader interpretation of due process rights under the Fourteenth Amendment and reinforces the principle that criminal trials must be fundamentally fair, indicating a liberal leaning on criminal justice issues.",15000,2026-01-24
11243460,https://www.courtlistener.com/api/rest/v4/clusters/10776873/,2025-02-21,Hungary v. Simon,N/A,010combined,N/A,27,https://www.courtlistener.com/opinion/10776873/hungary-v-simon/,https://www.supremecourt.gov/opinions/24pdf/604us1r09_1b7d.pdf,Conservative,High,International Law;Property Rights,"International Law - The case concerns the Foreign Sovereign Immunities Act and its interpretation, directly relating to international law principles of sovereign immunity.;Property Rights - The case involves claims for damages related to the expropriation of property, a core issue related to property rights.","The Supreme Court unanimously held that alleging the commingling of funds alone is insufficient to satisfy the commercial nexus requirement of the Foreign Sovereign Immunities Act's (FSIA) expropriation exception. The case involved Jewish survivors of the Holocaust seeking damages from Hungary for property allegedly seized during World War II. The Court reasoned that the FSIA requires plaintiffs to trace either the specific expropriated property or property exchanged for it to the United States, and that a general allegation of commingling with other funds does not meet this requirement.","The decision favors a stricter interpretation of the FSIA, limiting the ability to sue foreign sovereigns in US courts, which aligns with a conservative approach to international law and foreign sovereign immunity.",15000,2026-01-24
11243459,https://www.courtlistener.com/api/rest/v4/clusters/10776872/,2025-02-21,Williams v. Reed,N/A,010combined,N/A,26,https://www.courtlistener.com/opinion/10776872/williams-v-reed/,https://www.supremecourt.gov/opinions/24pdf/604us1r11_2b8e.pdf,Liberal,High,[Civil Rights; Federal Power; State Rights; Fourteenth Amendment; Administrative Law; Employment],[Civil Rights - The case concerns the ability of individuals to bring civil rights claims under 42 U.S.C. § 1983; Federal Power - The Court affirms the supremacy of federal law (§ 1983) over state procedural rules that effectively immunize state officials from suit; State Rights - The case limits the ability of states to create procedural barriers that undermine federal civil rights protections; Fourteenth Amendment - The plaintiffs argued that the delays in processing their unemployment benefits claims violated the Due Process Clause of the Fourteenth Amendment; Administrative Law - The case addresses the administrative exhaustion doctrine and its limits in the context of § 1983 claims; Employment - The case directly involves unemployment benefits claims.],"The Supreme Court held that Alabama's administrative exhaustion requirement, which effectively prevented individuals from suing state officials under 42 U.S.C. § 1983 for delays in processing unemployment benefits claims, was preempted by federal law. The Court reasoned that a state law cannot immunize state officials from § 1983 claims, even when the litigation takes place in state court, and that the Alabama rule operated as such an impermissible immunity. This ruling effectively limits state power to shield itself from federal civil rights claims.","The decision prioritizes the enforcement of a federal civil rights statute (§ 1983) over a state procedural rule, effectively expanding avenues for individuals to sue state entities for civil rights violations, making it a liberal decision.",15000,2026-01-24
